Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
1.682725,2.476683438221888,2.154851138681842,1.895992494772458,1.677949649257622,1.483188740188244,1.289706162570532,0.7472165048884668,0.5546266545600593,0.4832715331613878,0.4346795784198344,0.3975162846942631,0.3674091821330745,0.3422709441635416,0.3207717598565646,0.302085602859335
1.7117375,2.490856478748008,2.167670588759103,1.907973859216757,1.689640260060115,1.495440343879199,1.30491902602795,0.9824701741238764,0.571131151859946,0.4947928815432665,0.4440611091440391,0.4056247529949755,0.3746319082575112,0.3488327949559236,0.3268100682518423,0.307694270141076
1.74075,2.505012703203771,2.180463214219245,1.919910527953783,1.701249063864362,1.50751550284071,1.319541483253868,1.071389831154384,0.5889186775074152,0.5066357112376279,0.4535948435897398,0.4138216751452559,0.3819113602840978,0.3554340045897234,0.3328770204827293,0.3133245433369938
1.7697625,2.519152681821965,2.193230042756453,1.931804508745035,1.7127807394396,1.519428334483063,1.333658467084345,1.103941150540133,0.6081587244714667,0.5188363301321351,0.4632921941474982,0.4221121004080732,0.3892916598312124,0.3620760976409134,0.3389735806363836,0.3189770666801586
1.798775,2.533276959868586,2.205972050231953,1.943657687451305,1.724239588343877,1.531191310144221,1.347257585964872,1.130360779303588,0.629302021309047,0.5315596832792221,0.4731658481091012,0.4305014959148475,0.3966975829928065,0.3687606805588202,0.3451007570474954,0.3246525102245789
1.8277875,2.547386059000608,2.218690163972816,1.955471837549861,1.735629574816092,1.54281550868526,1.360572658704188,1.153429956068506,0.6530419368489082,0.5446468749193268,0.4833191289391735,0.4389957927593969,0.4041690763625859,0.375489447377494,0.3512596049054046,0.3303515711596499
1.8568,2.561480478534743,2.231385265814901,1.967248628735624,1.746954360452561,1.554310821992664,1.373544731939755,1.174010362586728,0.6807595915567675,0.5582548803938834,0.4936070361722507,0.4476014384629743,0.4117094009801033,0.3822641859169151,0.3574512290483325,0.3360749752053724
1.8858125,2.575560696634045,2.244058194913423,1.978989634711328,1.758217334472534,1.565686123098263,1.386210984137943,1.192803592003352,0.7150766529411346,0.5725921175731842,0.5041220804084204,0.4563254568643353,0.4193219933450744,0.3890867845233191,0.3636767869603432,0.3418234780940609
1.914825,2.589627171418608,2.256709750342152,1.990696340257712,1.76942164023814,1.576949404915084,1.398603275108283,1.210384264858187,0.7623163710354088,0.5875366218294304,0.5148853924196984,0.465175516689113,0.4270105339147219,0.3959955378477408,0.3699374919880925,0.3475978671446981
1.9438375,2.603680342006074,2.26934069350003,2.002370147662944,1.780570198578721,1.588107895636543,1.410748570430761,1.226760353887932,0.841906343515734,0.6033053853578307,0.5259206390206325,0.4741600102949366,0.4347789699006158,0.4029240377128868,0.3762346167960063,0.3533989629365736
